Spatial Frequency(Hz),Modulation(0-1),System time(milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
16.0,0.0,1435093383803,348.0,160.0,188.0,2.0,
16.0,0.0,1435093383812,349.0,160.0,189.0,2.0,
16.0,0.0,1435093383821,349.0,160.0,189.0,2.0,
16.0,0.0,1435093383830,349.0,160.0,189.0,2.0,
16.0,0.0,1435093383838,349.0,160.0,189.0,2.0,
16.0,0.0,1435093383849,352.0,160.0,192.0,2.0,
16.0,0.0,1435093383863,352.0,160.0,192.0,2.0,
16.0,0.0,1435093383871,352.0,160.0,192.0,2.0,
16.0,0.0,1435093383880,354.0,160.0,194.0,2.0,
16.0,0.0,1435093383888,354.0,160.0,194.0,2.0,
16.0,0.0,1435093383896,354.0,160.0,194.0,2.0,
16.0,0.0,1435093383904,354.0,160.0,194.0,2.0,
16.0,0.0,1435093383913,356.0,160.0,196.0,2.0,
16.0,0.0,1435093383922,356.0,160.0,196.0,2.0,
16.0,0.0,1435093383932,356.0,160.0,196.0,2.0,
16.0,0.0,1435093383941,356.0,160.0,196.0,2.0,
16.0,0.0,1435093383951,359.0,160.0,199.0,2.0,
16.0,0.0,1435093383959,359.0,160.0,199.0,2.0,
16.0,0.0,1435093383968,359.0,160.0,199.0,2.0,
16.0,0.0,1435093383980,362.0,160.0,202.0,2.0,
16.0,0.0,1435093383989,362.0,160.0,202.0,2.0,
16.0,0.0,1435093383998,362.0,160.0,202.0,2.0,
16.0,0.0,1435093384012,365.0,160.0,205.0,2.0,
16.0,0.0,1435093384020,365.0,160.0,205.0,2.0,
16.0,0.0,1435093384029,365.0,160.0,205.0,2.0,
16.0,0.0,1435093384037,365.0,160.0,205.0,2.0,
16.0,0.0,1435093384045,366.0,160.0,206.0,2.0,
16.0,0.0,1435093384054,366.0,160.0,206.0,2.0,
16.0,0.0,1435093384062,366.0,160.0,206.0,2.0,
16.0,0.0,1435093384070,366.0,160.0,206.0,2.0,
16.0,0.0,1435093384080,368.0,160.0,208.0,2.0,
16.0,0.0,1435093384089,368.0,160.0,208.0,2.0,
16.0,0.0,1435093384100,368.0,160.0,208.0,2.0,
16.0,0.0,1435093384115,369.0,160.0,209.0,2.0,
16.0,0.0,1435093384123,369.0,160.0,209.0,2.0,
16.0,0.0,1435093384136,369.0,160.0,209.0,2.0,
16.0,0.0,1435093384145,372.0,160.0,212.0,2.0,
16.0,0.0,1435093384152,372.0,160.0,212.0,2.0,
16.0,0.0,1435093384160,372.0,160.0,212.0,2.0,
16.0,0.0,1435093384169,372.0,160.0,212.0,2.0,
16.0,0.0,1435093384178,374.0,160.0,214.0,2.0,
16.0,0.0,1435093384187,374.0,160.0,214.0,2.0,
16.0,0.0,1435093384196,374.0,160.0,214.0,2.0,
16.0,0.0,1435093384204,374.0,160.0,214.0,2.0,
16.0,0.0,1435093384213,377.0,160.0,217.0,2.0,
16.0,0.0,1435093384220,377.0,160.0,217.0,2.0,
16.0,0.0,1435093384229,377.0,160.0,217.0,2.0,
16.0,0.0,1435093384236,377.0,160.0,217.0,2.0,
16.0,0.0,1435093384246,380.0,160.0,220.0,2.0,
16.0,0.0,1435093384254,380.0,160.0,220.0,2.0,
