Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
20.0,1.0,10338,320,320,0.0,4.0,
20.0,1.0,10371,320,320,0.0,4.0,
20.0,1.0,10405,320,320,0.0,4.0,
20.0,1.0,10438,320,320,0.0,4.0,
20.0,1.0,10472,320,320,0.0,4.0,
20.0,1.0,10505,320,320,0.0,4.0,
20.0,1.0,10539,320,320,0.0,4.0,
20.0,1.0,10572,320,320,0.0,4.0,
20.0,1.0,10605,320,320,0.0,4.0,
20.0,1.0,10639,320,320,0.0,4.0,
20.0,1.0,10673,320,320,0.0,4.0,
20.0,1.0,10706,320,320,0.0,4.0,
20.0,1.0,10739,320,320,0.0,4.0,
20.0,1.0,10772,320,320,0.0,4.0,
20.0,1.0,10806,320,320,0.0,4.0,
20.0,1.0,10839,320,320,0.0,4.0,
20.0,1.0,10873,320,320,0.0,4.0,
20.0,1.0,10906,320,320,0.0,4.0,
20.0,1.0,10940,320,320,0.0,4.0,
20.0,1.0,10973,320,320,0.0,4.0,
20.0,1.0,11006,320,320,0.0,4.0,
20.0,1.0,11040,320,320,0.0,4.0,
20.0,1.0,11074,320,320,0.0,4.0,
20.0,1.0,11107,320,320,0.0,4.0,
20.0,1.0,11140,320,320,0.0,4.0,
20.0,1.0,11174,320,320,0.0,4.0,
20.0,1.0,11207,320,320,0.0,4.0,
20.0,1.0,11241,320,320,0.0,4.0,
20.0,1.0,11274,320,320,0.0,4.0,
20.0,1.0,11307,320,320,0.0,4.0,
20.0,1.0,11341,320,320,0.0,4.0,
20.0,1.0,11374,320,320,0.0,4.0,
20.0,1.0,11408,320,320,0.0,4.0,
20.0,1.0,11441,320,320,0.0,4.0,
20.0,1.0,11474,320,320,0.0,4.0,
20.0,1.0,11508,320,320,0.0,4.0,
20.0,1.0,11541,320,320,0.0,4.0,
20.0,1.0,11575,320,320,0.0,4.0,
20.0,1.0,11609,320,320,0.0,4.0,
20.0,1.0,11643,320,320,0.0,4.0,
20.0,1.0,11675,320,320,0.0,4.0,
20.0,1.0,11708,320,320,0.0,4.0,
20.0,1.0,11742,320,320,0.0,4.0,
20.0,1.0,11775,320,320,0.0,4.0,
20.0,1.0,11809,320,320,0.0,4.0,
20.0,1.0,11842,320,320,0.0,4.0,
20.0,1.0,11875,320,320,0.0,4.0,
20.0,1.0,11909,320,320,0.0,4.0,
20.0,1.0,11942,320,320,0.0,4.0,
20.0,1.0,11976,320,320,0.0,4.0,
20.0,1.0,12010,320,320,0.0,4.0,
20.0,1.0,12043,320,320,0.0,4.0,
20.0,1.0,12077,320,320,0.0,4.0,
20.0,1.0,12110,320,320,0.0,4.0,
20.0,1.0,12144,320,320,0.0,4.0,
20.0,1.0,12177,320,320,0.0,4.0,
20.0,1.0,12210,320,320,0.0,4.0,
20.0,1.0,12244,320,320,0.0,4.0,
20.0,1.0,12277,320,320,0.0,4.0,
20.0,1.0,12310,320,320,0.0,4.0,
20.0,1.0,12344,320,320,0.0,4.0,
20.0,1.0,12378,320,320,0.0,4.0,
20.0,1.0,12410,320,320,0.0,4.0,
20.0,1.0,12444,320,320,0.0,4.0,
20.0,1.0,12477,320,320,0.0,4.0,
20.0,1.0,12511,320,320,0.0,4.0,
20.0,1.0,12545,320,320,0.0,4.0,
20.0,1.0,12577,320,320,0.0,4.0,
20.0,1.0,12611,320,320,0.0,4.0,
20.0,1.0,12645,320,320,0.0,4.0,
20.0,1.0,12678,320,320,0.0,4.0,
20.0,1.0,12711,320,320,0.0,4.0,
20.0,1.0,12745,320,320,0.0,4.0,
20.0,1.0,12778,320,320,0.0,4.0,
20.0,1.0,12812,320,320,0.0,4.0,
20.0,1.0,12845,320,320,0.0,4.0,
20.0,1.0,12879,320,320,0.0,4.0,
20.0,1.0,12913,320,320,0.0,4.0,
20.0,1.0,12946,320,320,0.0,4.0,
20.0,1.0,12980,320,320,0.0,4.0,
20.0,1.0,13012,320,320,0.0,4.0,
20.0,1.0,13046,320,320,0.0,4.0,
20.0,1.0,13079,320,320,0.0,4.0,
20.0,1.0,13113,320,320,0.0,4.0,
20.0,1.0,13146,320,320,0.0,4.0,
20.0,1.0,13180,320,320,0.0,4.0,
20.0,1.0,13212,320,320,0.0,4.0,
20.0,1.0,13247,320,320,0.0,4.0,
20.0,1.0,13280,320,320,0.0,4.0,
20.0,1.0,13313,320,320,0.0,4.0,
20.0,1.0,13347,320,320,0.0,4.0,
20.0,1.0,13380,320,320,0.0,4.0,
20.0,1.0,13413,320,320,0.0,4.0,
20.0,1.0,13447,320,320,0.0,4.0,
20.0,1.0,13480,320,320,0.0,4.0,
20.0,1.0,13513,320,320,0.0,4.0,
20.0,1.0,13547,320,320,0.0,4.0,
20.0,1.0,13580,320,320,0.0,4.0,
20.0,1.0,13613,320,320,0.0,4.0,
20.0,1.0,13648,320,320,0.0,4.0,
20.0,1.0,13683,320,320,0.0,4.0,
20.0,1.0,13714,320,320,0.0,4.0,
20.0,1.0,13748,320,320,0.0,4.0,
20.0,1.0,13781,320,320,0.0,4.0,
20.0,1.0,13814,320,320,0.0,4.0,
20.0,1.0,13848,320,320,0.0,4.0,
20.0,1.0,13881,320,320,0.0,4.0,
20.0,1.0,13914,320,320,0.0,4.0,
20.0,1.0,13948,320,320,0.0,4.0,
20.0,1.0,13982,320,320,0.0,4.0,
20.0,1.0,14014,320,320,0.0,4.0,
20.0,1.0,14049,320,320,0.0,4.0,
20.0,1.0,14081,320,320,0.0,4.0,
20.0,1.0,14115,320,320,0.0,4.0,
20.0,1.0,14148,320,320,0.0,4.0,
20.0,1.0,14182,320,320,0.0,4.0,
20.0,1.0,14212,320,320,0.0,4.0,
20.0,1.0,14247,320,320,0.0,4.0,
20.0,1.0,14280,320,320,0.0,4.0,
20.0,1.0,14315,320,320,0.0,4.0,
20.0,1.0,14349,320,320,0.0,4.0,
20.0,1.0,14382,320,320,0.0,4.0,
20.0,1.0,14416,320,320,0.0,4.0,
20.0,1.0,14450,320,320,0.0,4.0,
20.0,1.0,14483,320,320,0.0,4.0,
20.0,1.0,14516,320,320,0.0,4.0,
20.0,1.0,14549,320,320,0.0,4.0,
20.0,1.0,14583,320,320,0.0,4.0,
20.0,1.0,14616,320,320,0.0,4.0,
20.0,1.0,14650,320,320,0.0,4.0,
20.0,1.0,14683,320,320,0.0,4.0,
20.0,1.0,14716,320,320,0.0,4.0,
20.0,1.0,14750,320,320,0.0,4.0,
20.0,1.0,14783,320,320,0.0,4.0,
20.0,1.0,14817,320,320,0.0,4.0,
20.0,1.0,14850,320,320,0.0,4.0,
20.0,1.0,14883,320,320,0.0,4.0,
20.0,1.0,14917,320,320,0.0,4.0,
20.0,1.0,14950,320,320,0.0,4.0,
