Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
1.0,1.0,12582,1935,320,1615.0,4.0,
1.0,1.0,12615,1937,320,1617.0,4.0,
1.0,1.0,12648,1938,320,1618.0,4.0,
1.0,1.0,12682,1937,320,1617.0,4.0,
1.0,1.0,12715,1935,320,1615.0,4.0,
1.0,1.0,12749,1932,320,1612.0,4.0,
1.0,1.0,12782,1928,320,1608.0,4.0,
1.0,1.0,12815,1924,320,1604.0,4.0,
1.0,1.0,12850,1920,320,1600.0,4.0,
1.0,1.0,12882,1917,320,1597.0,4.0,
1.0,1.0,12916,1914,320,1594.0,4.0,
1.0,1.0,12949,1912,320,1592.0,4.0,
1.0,1.0,12983,1910,320,1590.0,4.0,
1.0,1.0,13016,1910,320,1590.0,4.0,
1.0,1.0,13049,1912,320,1592.0,4.0,
1.0,1.0,13083,1915,320,1595.0,4.0,
1.0,1.0,13116,1918,320,1598.0,4.0,
1.0,1.0,13150,1921,320,1601.0,4.0,
1.0,1.0,13183,1922,320,1602.0,4.0,
1.0,1.0,13217,1923,320,1603.0,4.0,
1.0,1.0,13250,1923,320,1603.0,4.0,
1.0,1.0,13283,1923,320,1603.0,4.0,
1.0,1.0,13317,1924,320,1604.0,4.0,
1.0,1.0,13350,1925,320,1605.0,4.0,
1.0,1.0,13385,1926,320,1606.0,4.0,
1.0,1.0,13417,1928,320,1608.0,4.0,
1.0,1.0,13452,1931,320,1611.0,4.0,
1.0,1.0,13484,1934,320,1614.0,4.0,
1.0,1.0,13517,1937,320,1617.0,4.0,
1.0,1.0,13551,1939,320,1619.0,4.0,
1.0,1.0,13584,1939,320,1619.0,4.0,
1.0,1.0,13618,1937,320,1617.0,4.0,
1.0,1.0,13651,1934,320,1614.0,4.0,
1.0,1.0,13684,1930,320,1610.0,4.0,
1.0,1.0,13719,1925,320,1605.0,4.0,
1.0,1.0,13751,1920,320,1600.0,4.0,
1.0,1.0,13785,1914,320,1594.0,4.0,
1.0,1.0,13818,1907,320,1587.0,4.0,
