Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
1.0,1.0,5982,320,320,0.0,4.0,
1.0,1.0,6016,320,320,0.0,4.0,
1.0,1.0,6049,320,320,0.0,4.0,
1.0,1.0,6082,320,320,0.0,4.0,
1.0,1.0,6117,320,320,0.0,4.0,
1.0,1.0,6149,320,320,0.0,4.0,
1.0,1.0,6183,320,320,0.0,4.0,
1.0,1.0,6216,320,320,0.0,4.0,
1.0,1.0,6250,320,320,0.0,4.0,
1.0,1.0,6283,320,320,0.0,4.0,
1.0,1.0,6316,320,320,0.0,4.0,
1.0,1.0,6350,320,320,0.0,4.0,
1.0,1.0,6383,320,320,0.0,4.0,
1.0,1.0,6417,320,320,0.0,4.0,
1.0,1.0,6450,320,320,0.0,4.0,
1.0,1.0,6484,320,320,0.0,4.0,
1.0,1.0,6517,320,320,0.0,4.0,
1.0,1.0,6550,320,320,0.0,4.0,
1.0,1.0,6584,320,320,0.0,4.0,
1.0,1.0,6617,320,320,0.0,4.0,
1.0,1.0,6651,320,320,0.0,4.0,
1.0,1.0,6684,320,320,0.0,4.0,
1.0,1.0,6717,320,320,0.0,4.0,
1.0,1.0,6751,320,320,0.0,4.0,
1.0,1.0,6784,320,320,0.0,4.0,
1.0,1.0,6818,320,320,0.0,4.0,
1.0,1.0,6851,320,320,0.0,4.0,
1.0,1.0,6885,320,320,0.0,4.0,
1.0,1.0,6919,320,320,0.0,4.0,
1.0,1.0,6951,320,320,0.0,4.0,
1.0,1.0,6985,320,320,0.0,4.0,
1.0,1.0,7018,320,320,0.0,4.0,
1.0,1.0,7052,320,320,0.0,4.0,
1.0,1.0,7085,320,320,0.0,4.0,
1.0,1.0,7120,320,320,0.0,4.0,
1.0,1.0,7152,320,320,0.0,4.0,
1.0,1.0,7185,320,320,0.0,4.0,
1.0,1.0,7219,320,320,0.0,4.0,
1.0,1.0,7252,320,320,0.0,4.0,
1.0,1.0,7286,320,320,0.0,4.0,
1.0,1.0,7319,320,320,0.0,4.0,
1.0,1.0,7352,320,320,0.0,4.0,
1.0,1.0,7387,320,320,0.0,4.0,
1.0,1.0,7419,320,320,0.0,4.0,
1.0,1.0,7453,320,320,0.0,4.0,
1.0,1.0,7486,320,320,0.0,4.0,
1.0,1.0,7520,320,320,0.0,4.0,
1.0,1.0,7553,320,320,0.0,4.0,
1.0,1.0,7586,320,320,0.0,4.0,
1.0,1.0,7620,320,320,0.0,4.0,
1.0,1.0,7654,320,320,0.0,4.0,
1.0,1.0,7688,320,320,0.0,4.0,
1.0,1.0,7720,320,320,0.0,4.0,
1.0,1.0,7754,320,320,0.0,4.0,
1.0,1.0,7788,320,320,0.0,4.0,
1.0,1.0,7820,320,320,0.0,4.0,
1.0,1.0,7854,320,320,0.0,4.0,
1.0,1.0,7887,320,320,0.0,4.0,
1.0,1.0,7921,320,320,0.0,4.0,
1.0,1.0,7954,320,320,0.0,4.0,
1.0,1.0,7988,320,320,0.0,4.0,
1.0,1.0,8021,320,320,0.0,4.0,
1.0,1.0,8054,320,320,0.0,4.0,
1.0,1.0,8088,320,320,0.0,4.0,
1.0,1.0,8121,320,320,0.0,4.0,
1.0,1.0,8155,320,320,0.0,4.0,
1.0,1.0,8189,320,320,0.0,4.0,
1.0,1.0,8221,320,320,0.0,4.0,
1.0,1.0,8255,320,320,0.0,4.0,
1.0,1.0,8289,320,320,0.0,4.0,
1.0,1.0,8322,320,320,0.0,4.0,
1.0,1.0,8355,320,320,0.0,4.0,
1.0,1.0,8389,320,320,0.0,4.0,
1.0,1.0,8422,320,320,0.0,4.0,
1.0,1.0,8455,320,320,0.0,4.0,
1.0,1.0,8490,320,320,0.0,4.0,
1.0,1.0,8522,320,320,0.0,4.0,
1.0,1.0,8556,320,320,0.0,4.0,
1.0,1.0,8590,320,320,0.0,4.0,
1.0,1.0,8623,320,320,0.0,4.0,
1.0,1.0,8656,320,320,0.0,4.0,
1.0,1.0,8691,320,320,0.0,4.0,
1.0,1.0,8723,320,320,0.0,4.0,
1.0,1.0,8756,320,320,0.0,4.0,
1.0,1.0,8790,320,320,0.0,4.0,
1.0,1.0,8823,320,320,0.0,4.0,
1.0,1.0,8857,320,320,0.0,4.0,
1.0,1.0,8890,320,320,0.0,4.0,
1.0,1.0,8923,320,320,0.0,4.0,
1.0,1.0,8957,320,320,0.0,4.0,
1.0,1.0,8991,320,320,0.0,4.0,
1.0,1.0,9024,320,320,0.0,4.0,
1.0,1.0,9057,320,320,0.0,4.0,
1.0,1.0,9090,320,320,0.0,4.0,
1.0,1.0,9124,320,320,0.0,4.0,
1.0,1.0,9157,320,320,0.0,4.0,
1.0,1.0,9191,320,320,0.0,4.0,
1.0,1.0,9224,320,320,0.0,4.0,
1.0,1.0,9258,320,320,0.0,4.0,
1.0,1.0,9291,320,320,0.0,4.0,
1.0,1.0,9324,320,320,0.0,4.0,
1.0,1.0,9358,320,320,0.0,4.0,
1.0,1.0,9391,320,320,0.0,4.0,
1.0,1.0,9425,320,320,0.0,4.0,
1.0,1.0,9458,320,320,0.0,4.0,
1.0,1.0,9492,320,320,0.0,4.0,
1.0,1.0,9525,320,320,0.0,4.0,
1.0,1.0,9558,320,320,0.0,4.0,
1.0,1.0,9593,320,320,0.0,4.0,
1.0,1.0,9625,320,320,0.0,4.0,
1.0,1.0,9659,320,320,0.0,4.0,
1.0,1.0,9692,320,320,0.0,4.0,
1.0,1.0,9726,320,320,0.0,4.0,
1.0,1.0,9759,320,320,0.0,4.0,
1.0,1.0,9792,320,320,0.0,4.0,
1.0,1.0,9826,320,320,0.0,4.0,
1.0,1.0,9860,320,320,0.0,4.0,
1.0,1.0,9893,320,320,0.0,4.0,
1.0,1.0,9926,320,320,0.0,4.0,
1.0,1.0,9960,320,320,0.0,4.0,
1.0,1.0,9993,320,320,0.0,4.0,
1.0,1.0,10026,320,320,0.0,4.0,
1.0,1.0,10060,320,320,0.0,4.0,
1.0,1.0,10093,320,320,0.0,4.0,
1.0,1.0,10128,320,320,0.0,4.0,
1.0,1.0,10160,320,320,0.0,4.0,
1.0,1.0,10193,320,320,0.0,4.0,
1.0,1.0,10227,320,320,0.0,4.0,
1.0,1.0,10261,320,320,0.0,4.0,
1.0,1.0,10294,320,320,0.0,4.0,
1.0,1.0,10327,320,320,0.0,4.0,
1.0,1.0,10360,320,320,0.0,4.0,
1.0,1.0,10394,320,320,0.0,4.0,
1.0,1.0,10427,320,320,0.0,4.0,
1.0,1.0,10461,320,320,0.0,4.0,
1.0,1.0,10494,320,320,0.0,4.0,
1.0,1.0,10528,320,320,0.0,4.0,
1.0,1.0,10561,320,320,0.0,4.0,
1.0,1.0,10594,320,320,0.0,4.0,
1.0,1.0,10628,320,320,0.0,4.0,
1.0,1.0,10661,320,320,0.0,4.0,
1.0,1.0,10695,320,320,0.0,4.0,
1.0,1.0,10728,320,320,0.0,4.0,
1.0,1.0,10762,320,320,0.0,4.0,
1.0,1.0,10795,320,320,0.0,4.0,
1.0,1.0,10829,320,320,0.0,4.0,
1.0,1.0,10862,320,320,0.0,4.0,
1.0,1.0,10896,320,320,0.0,4.0,
1.0,1.0,10929,320,320,0.0,4.0,
1.0,1.0,10962,320,320,0.0,4.0,
1.0,1.0,10996,320,320,0.0,4.0,
1.0,1.0,11029,320,320,0.0,4.0,
1.0,1.0,11062,320,320,0.0,4.0,
1.0,1.0,11096,320,320,0.0,4.0,
1.0,1.0,11129,320,320,0.0,4.0,
1.0,1.0,11163,320,320,0.0,4.0,
1.0,1.0,11196,320,320,0.0,4.0,
1.0,1.0,11230,320,320,0.0,4.0,
1.0,1.0,11263,320,320,0.0,4.0,
1.0,1.0,11296,320,320,0.0,4.0,
1.0,1.0,11330,320,320,0.0,4.0,
1.0,1.0,11363,320,320,0.0,4.0,
1.0,1.0,11397,320,320,0.0,4.0,
1.0,1.0,11430,320,320,0.0,4.0,
1.0,1.0,11463,320,320,0.0,4.0,
1.0,1.0,11497,320,320,0.0,4.0,
1.0,1.0,11530,320,320,0.0,4.0,
1.0,1.0,11564,320,320,0.0,4.0,
1.0,1.0,11597,320,320,0.0,4.0,
1.0,1.0,11631,320,320,0.0,4.0,
1.0,1.0,11664,320,320,0.0,4.0,
1.0,1.0,11697,320,320,0.0,4.0,
1.0,1.0,11731,1917,320,1597.0,4.0,
1.0,1.0,11764,1919,320,1599.0,4.0,
1.0,1.0,11798,1920,320,1600.0,4.0,
1.0,1.0,11831,1922,320,1602.0,4.0,
1.0,1.0,11865,1925,320,1605.0,4.0,
1.0,1.0,11898,1928,320,1608.0,4.0,
1.0,1.0,11931,1930,320,1610.0,4.0,
1.0,1.0,11965,1932,320,1612.0,4.0,
1.0,1.0,12000,1933,320,1613.0,4.0,
1.0,1.0,12032,1932,320,1612.0,4.0,
1.0,1.0,12065,1929,320,1609.0,4.0,
1.0,1.0,12099,1920,320,1600.0,4.0,
1.0,1.0,12132,1915,320,1595.0,4.0,
1.0,1.0,12165,1909,320,1589.0,4.0,
1.0,1.0,12199,1902,320,1582.0,4.0,
1.0,1.0,12232,1895,320,1575.0,4.0,
1.0,1.0,12266,1887,320,1567.0,4.0,
1.0,1.0,12299,1879,320,1559.0,4.0,
1.0,1.0,12333,1871,320,1551.0,4.0,
1.0,1.0,12366,1864,320,1544.0,4.0,
1.0,1.0,12399,1858,320,1538.0,4.0,
1.0,1.0,12433,1854,320,1534.0,4.0,
1.0,1.0,12466,1850,320,1530.0,4.0,
1.0,1.0,12500,1848,320,1528.0,4.0,
1.0,1.0,12533,1846,320,1526.0,4.0,
1.0,1.0,12566,1845,320,1525.0,4.0,
1.0,1.0,12600,1842,320,1522.0,4.0,
1.0,1.0,12633,1838,320,1518.0,4.0,
1.0,1.0,12667,1831,320,1511.0,4.0,
1.0,1.0,12700,1822,320,1502.0,4.0,
1.0,1.0,12734,1812,320,1492.0,4.0,
1.0,1.0,12767,1800,320,1480.0,4.0,
1.0,1.0,12800,1789,320,1469.0,4.0,
1.0,1.0,12834,1778,320,1458.0,4.0,
1.0,1.0,12867,1768,320,1448.0,4.0,
1.0,1.0,12901,1758,320,1438.0,4.0,
1.0,1.0,12934,1749,320,1429.0,4.0,
1.0,1.0,12968,1742,320,1422.0,4.0,
1.0,1.0,13002,1736,320,1416.0,4.0,
1.0,1.0,13034,1732,320,1412.0,4.0,
1.0,1.0,13068,1730,321,1409.0,4.0,
1.0,1.0,13101,1730,325,1405.0,4.0,
1.0,1.0,13135,1732,325,1407.0,4.0,
1.0,1.0,13168,1736,344,1392.0,4.0,
1.0,1.0,13201,1742,360,1382.0,4.0,
1.0,1.0,13235,1750,382,1368.0,4.0,
1.0,1.0,13269,1760,408,1352.0,4.0,
1.0,1.0,13302,1771,437,1334.0,4.0,
1.0,1.0,13335,1781,465,1316.0,4.0,
1.0,1.0,13369,1790,494,1296.0,4.0,
1.0,1.0,13402,1801,524,1277.0,4.0,
1.0,1.0,13435,1812,553,1259.0,4.0,
1.0,1.0,13469,1825,586,1239.0,4.0,
1.0,1.0,13500,1839,616,1223.0,4.0,
1.0,1.0,13532,1853,648,1205.0,4.0,
1.0,1.0,13567,1868,683,1185.0,4.0,
1.0,1.0,13601,1883,718,1165.0,4.0,
1.0,1.0,13636,1896,753,1143.0,4.0,
1.0,1.0,13670,1909,788,1121.0,4.0,
1.0,1.0,13703,1919,823,1096.0,4.0,
1.0,1.0,13736,1927,860,1067.0,4.0,
1.0,1.0,13770,1931,860,1071.0,4.0,
1.0,1.0,13803,1931,899,1032.0,4.0,
1.0,1.0,13837,1932,982,950.0,4.0,
1.0,1.0,13867,1932,982,950.0,4.0,
1.0,1.0,13902,1926,1069,857.0,4.0,
1.0,1.0,13935,1922,1113,809.0,4.0,
1.0,1.0,13968,1917,1157,760.0,4.0,
1.0,1.0,14001,1911,1201,710.0,4.0,
1.0,1.0,14036,1905,1247,658.0,4.0,
1.0,1.0,14070,1898,1292,606.0,4.0,
1.0,1.0,14104,1893,1337,556.0,4.0,
1.0,1.0,14137,1890,1379,511.0,4.0,
1.0,1.0,14171,1888,1423,465.0,4.0,
1.0,1.0,14204,1889,1465,424.0,4.0,
1.0,1.0,14238,1890,1506,384.0,4.0,
1.0,1.0,14271,1893,1548,345.0,4.0,
1.0,1.0,14304,1897,1589,308.0,4.0,
1.0,1.0,14338,1901,1631,270.0,4.0,
1.0,1.0,14372,1904,1673,231.0,4.0,
1.0,1.0,14407,1907,1716,191.0,4.0,
1.0,1.0,14438,1907,1754,153.0,4.0,
1.0,1.0,14472,1906,1792,114.0,4.0,
1.0,1.0,14505,1904,1830,74.0,4.0,
1.0,1.0,14538,1902,1864,38.0,4.0,
1.0,1.0,14572,1902,1864,38.0,4.0,
1.0,1.0,14605,1900,1933,33.0,4.0,
1.0,1.0,14639,1899,1967,68.0,4.0,
1.0,1.0,14672,1899,2001,102.0,4.0,
1.0,1.0,14706,1898,2031,133.0,4.0,
1.0,1.0,14739,1898,2051,153.0,4.0,
1.0,1.0,14772,1897,2055,158.0,4.0,
