Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
10.0,1.0,5665,1509,548,961.1878068306943,0.0,
10.0,1.0,5699,1511,548,963.1874168613292,0.0,
10.0,1.0,5732,1513,548,965.1870285079467,0.0,
10.0,1.0,5766,1515,548,967.1866417605239,0.0,
10.0,1.0,5799,1518,548,970.1860646288422,0.0,
10.0,1.0,5832,1520,548,972.185681853009,0.0,
10.0,1.0,5865,1523,548,975.185110632848,0.0,
10.0,1.0,5899,1526,548,978.1845429161104,0.0,
10.0,1.0,5932,1529,548,981.183978670667,0.0,
10.0,1.0,5965,1532,548,984.1834178647799,0.0,
10.0,1.0,5999,1535,548,987.182860467097,0.0,
10.0,1.0,6032,1538,548,990.1823064466462,0.0,
10.0,1.0,6065,1541,548,993.1817557728293,0.0,
10.0,1.0,6099,1544,548,996.1812084154168,0.0,
10.0,1.0,6132,1546,548,998.1808453381582,0.0,
10.0,1.0,6165,1549,548,1001.1803034418925,0.0,
10.0,1.0,6197,1551,548,1003.1799439781479,0.0,
10.0,1.0,6228,1553,548,1005.1795859447207,0.0,
10.0,1.0,6262,1555,548,1007.1792293330915,0.0,
10.0,1.0,6294,1557,548,1009.1788741348087,0.0,
10.0,1.0,6328,1559,548,1011.1785203414875,0.0,
10.0,1.0,6361,1560,548,1012.1783439690853,0.0,
10.0,1.0,6394,1561,548,1013.1781679448092,0.0,
10.0,1.0,6425,1562,548,1014.1779922676295,0.0,
10.0,1.0,6455,1563,548,1015.1778169365207,0.0,
10.0,1.0,6485,1564,548,1016.1776419504613,0.0,
10.0,1.0,6515,1565,548,1017.1774673084338,0.0,
10.0,1.0,6548,1565,548,1017.1774673084338,0.0,
10.0,1.0,6582,1566,548,1018.1772930094247,0.0,
10.0,1.0,6615,1566,548,1018.1772930094247,0.0,
10.0,1.0,6649,1566,548,1018.1772930094247,0.0,
10.0,1.0,6681,1567,548,1019.1771190524246,0.0,
10.0,1.0,6711,1567,548,1019.1771190524246,0.0,
10.0,1.0,6743,1568,548,1020.1769454364277,0.0,
10.0,1.0,6777,1569,548,1021.1767721604326,0.0,
10.0,1.0,6811,1569,548,1021.1767721604326,0.0,
10.0,1.0,6844,1570,548,1022.1765992234415,0.0,
10.0,1.0,6876,1571,548,1023.1764266244605,0.0,
10.0,1.0,6911,1572,548,1024.1762543624998,0.0,
10.0,1.0,6944,1573,548,1025.1760824365733,0.0,
10.0,1.0,6976,1575,548,1027.1757395888983,0.0,
10.0,1.0,7011,1576,548,1028.1755686651964,0.0,
10.0,1.0,7044,1577,548,1029.1753980736228,0.0,
10.0,1.0,7077,1579,548,1031.1750578829958,0.0,
10.0,1.0,7111,1580,548,1032.1748882820198,0.0,
10.0,1.0,7144,1582,548,1034.174550063963,0.0,
10.0,1.0,7177,1583,548,1035.1743814449815,0.0,
10.0,1.0,7211,1585,548,1037.174045182389,0.0,
10.0,1.0,7244,1586,548,1038.173877536899,0.0,
10.0,1.0,7277,1587,548,1039.1737102140335,0.0,
10.0,1.0,7310,1589,548,1041.1733765324582,0.0,
10.0,1.0,7345,1590,548,1042.1732101718985,0.0,
10.0,1.0,7377,1591,548,1043.1730441302632,0.0,
10.0,1.0,7410,1593,548,1045.172713000105,0.0,
10.0,1.0,7445,1594,548,1046.1725479097604,0.0,
10.0,1.0,7478,1595,548,1047.1723831346967,0.0,
10.0,1.0,7510,1596,548,1048.1722186740117,0.0,
10.0,1.0,7544,1597,548,1049.1720545268063,0.0,
10.0,1.0,7577,1598,548,1050.1718906921858,0.0,
10.0,1.0,7612,1599,548,1051.1717271692576,0.0,
10.0,1.0,7643,1600,548,1052.1715639571335,0.0,
10.0,1.0,7678,1601,548,1053.171401054928,0.0,
10.0,0.06,7711,1601,548,1053.171401054928,0.0,
10.0,0.06,7745,642,642,0.0,0.0,
10.0,0.06,7778,644,642,19.1049731745428,0.0,
10.0,0.06,7812,645,642,19.235384061671343,0.0,
10.0,0.06,7845,647,642,19.6468827043885,0.0,
10.0,0.06,7880,649,642,20.248456731316587,0.0,
10.0,0.06,7913,651,642,21.02379604162864,0.0,
10.0,0.06,7948,653,642,21.95449840010015,0.0,
10.0,0.06,7981,656,642,23.600847442411894,0.0,
10.0,0.06,8015,659,642,25.495097567963924,0.0,
10.0,0.06,8048,661,642,26.870057685088806,0.0,
10.0,0.06,8081,665,642,29.832867780352597,0.0,
10.0,0.06,8115,668,642,32.202484376209235,0.0,
10.0,0.06,8148,671,642,34.66987164671943,0.0,
10.0,0.06,8181,675,642,38.07886552931954,0.0,
10.0,0.06,8215,678,642,40.70626487409524,0.0,
10.0,0.06,8248,682,642,44.28317965096906,0.0,
10.0,0.06,8281,686,642,47.92702786528704,0.0,
10.0,0.06,8315,689,642,50.695167422546305,0.0,
10.0,0.06,8348,693,642,54.42425929675111,0.0,
10.0,0.06,8381,696,642,57.245087125446844,0.0,
10.0,0.06,8414,699,642,60.08327554319921,0.0,
10.0,0.06,8448,702,642,62.93647591023825,0.0,
10.0,0.06,8481,705,642,65.80273550544841,0.0,
10.0,0.06,8513,708,642,68.6804193347711,0.0,
10.0,0.06,8548,710,642,70.60453243241541,0.0,
10.0,0.06,8581,712,642,72.53275122315436,0.0,
10.0,0.06,8614,713,642,73.49829930005184,0.0,
10.0,0.06,8648,715,642,75.43208866258443,0.0,
10.0,0.06,8681,716,642,76.40026177965623,0.0,
10.0,0.06,8711,716,642,76.40026177965623,0.0,
10.0,0.06,8744,716,642,76.40026177965623,0.0,
10.0,0.06,8777,716,642,76.40026177965623,0.0,
10.0,0.06,8811,716,642,76.40026177965623,0.0,
10.0,0.06,8844,716,642,76.40026177965623,0.0,
10.0,0.06,8876,716,642,76.40026177965623,0.0,
10.0,0.06,8910,715,642,75.43208866258443,0.0,
10.0,0.06,8945,714,642,74.46475676452586,0.0,
10.0,0.06,8976,713,642,73.49829930005184,0.0,
10.0,0.06,9011,711,642,71.56814934033156,0.0,
10.0,0.06,9041,710,642,70.60453243241541,0.0,
10.0,0.06,9072,709,642,69.6419413859206,0.0,
10.0,0.06,9104,707,642,67.72001181334805,0.0,
10.0,0.06,9134,706,642,66.76076692189807,0.0,
10.0,0.06,9164,704,642,64.8459713474939,0.0,
10.0,0.06,9197,703,642,63.89053137985315,0.0,
10.0,0.06,9228,702,642,62.93647591023825,0.0,
10.0,0.06,9260,701,642,61.98386886924694,0.0,
10.0,0.06,9293,700,642,61.032778078668514,0.0,
10.0,0.06,9327,699,642,60.08327554319921,0.0,
10.0,0.06,9361,698,642,59.135437767890075,0.0,
10.0,0.06,9394,697,642,58.18934610390462,0.0,
10.0,0.06,9428,697,642,58.18934610390462,0.0,
10.0,0.06,9459,696,642,57.245087125446844,0.0,
10.0,0.06,9489,696,642,57.245087125446844,0.0,
10.0,0.06,9519,695,642,56.302753041036986,0.0,
10.0,0.06,9549,695,642,56.302753041036986,0.0,
10.0,0.06,9580,695,642,56.302753041036986,0.0,
10.0,0.06,9614,695,642,56.302753041036986,0.0,
10.0,0.06,9647,694,642,55.362442142665635,0.0,
10.0,0.06,9680,694,642,55.362442142665635,0.0,
10.0,0.06,9713,693,642,54.42425929675111,0.0,
10.0,0.06,9748,693,642,54.42425929675111,0.0,
10.0,0.06,9781,692,642,53.48831648126533,0.0,
10.0,0.06,9813,691,642,52.55473337388365,0.0,
10.0,0.06,9847,690,642,51.62363799656123,0.0,
10.0,0.06,9881,689,642,50.695167422546305,0.0,
10.0,0.06,9912,687,642,48.84669896727925,0.0,
10.0,0.06,9944,686,642,47.92702786528704,0.0,
